matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento;dt_pgto;vlr_pago
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;1;31/01/2025;12/11/2024;750.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;2;28/02/2025;28/02/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;3;31/03/2025;31/03/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;4;30/04/2025;29/04/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;5;02/06/2025;30/05/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;6;30/06/2025;01/07/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;7;31/07/2025;01/08/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;8;31/08/2025;01/09/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;9;30/09/2025;01/10/2025;880.00
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;0.00;0.00;0.00;10;31/10/2025;29/10/2025;880.00
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;0.00;0.00;0.00;1;31/01/2025;31/01/2025;376.20
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;0.00;0.00;0.00;2;28/02/2025;05/03/2025;376.20
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;0.00;0.00;0.00;3;31/03/2025;31/03/2025;376.20
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;0.00;0.00;0.00;4;30/04/2025;30/04/2025;376.20
