matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;72.23;439.43;6;01/07/2024
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;68.67;435.87;7;31/07/2024
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;57.74;424.94;10;31/10/2024
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;51.80;419.00;12;20/12/2024
902;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;51.80;419.00;12;20/12/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;199.32;1265.22;7;31/07/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;187.94;1253.84;8;02/09/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;178.29;1244.19;9;30/09/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;167.60;1233.50;10;31/10/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;156.56;1222.46;11;02/12/2024
805;INFANTIL V A - MANHÃ;;SE;1045.00;0.00;20.90;150.35;1216.25;12;20/12/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;89.04;482.76;3;01/04/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;85.34;479.06;4;30/04/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;81.40;475.12;5;31/05/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;77.45;471.17;6;01/07/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;73.63;467.35;7;31/07/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;69.42;463.14;8;02/09/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;65.86;459.58;9;30/09/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;61.91;455.63;10;31/10/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;57.83;451.55;11;02/12/2024
820;1º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
882;1º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
792;2º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
695;4º ANO - MANHÃ;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
132;4º ANO - MANHÃ;;SE;965.00;0.00;19.30;164.64;1148.94;9;30/09/2024
132;4º ANO - MANHÃ;;SE;965.00;0.00;19.30;154.77;1139.07;10;31/10/2024
132;4º ANO - MANHÃ;;SE;965.00;0.00;19.30;144.58;1128.88;11;02/12/2024
132;4º ANO - MANHÃ;;SE;965.00;0.00;19.30;138.84;1123.14;12;20/12/2024
960;4º ANO - TARDE;;SE;386.00;0.00;7.72;69.42;463.14;8;02/09/2024
960;4º ANO - TARDE;;SE;386.00;0.00;7.72;65.86;459.58;9;30/09/2024
960;4º ANO - TARDE;;SE;386.00;0.00;7.72;61.91;455.63;10;31/10/2024
960;4º ANO - TARDE;;SE;386.00;0.00;7.72;57.83;451.55;11;02/12/2024
960;4º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
793;4º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;93.11;486.83;2;29/02/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;89.04;482.76;3;01/04/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;85.34;479.06;4;30/04/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;81.40;475.12;5;31/05/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;77.45;471.17;6;01/07/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;73.63;467.35;7;31/07/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;69.42;463.14;8;02/09/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;61.91;455.63;10;31/10/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;57.83;451.55;11;02/12/2024
981;5º ANO - TARDE;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
85;5º ANO - MANHÃ;;SE;386.00;0.00;7.72;65.86;459.58;9;30/09/2024
85;5º ANO - MANHÃ;;SE;386.00;0.00;7.72;61.91;455.63;10;31/10/2024
85;5º ANO - MANHÃ;;SE;386.00;0.00;7.72;57.83;451.55;11;02/12/2024
85;5º ANO - MANHÃ;;SE;386.00;0.00;7.72;55.54;449.26;12;20/12/2024
